feature,importance_mean,importance_std
MomentumTermSpread_20_5,0.008667370450754941,0.0006341905202045434
MomentumTermSpread_10_5,0.00651313827647156,0.00023579491513199476
PositionChange_10_5,0.005509270362630492,0.00046292390147099574
SencondMomentum_20_5_60,0.005175234525343668,0.0003031219499804657
PositionChange_60_5,0.0030426633926940263,0.00012268537861552978
SencondMomentum_60_10_5,0.001827428705761099,0.00010849140690717446
MomentumTermSpread_180_60,0.0017600596854253636,0.0004572314548077215
SencondMomentum_5_20_10,0.0016985431831878506,0.00033297852539110356
SencondMomentum_180_60_5,0.0016328532096978599,0.0004315368197998495
SencondMomentum_20_60_10,0.0016048274063202121,0.00011141558648182909
MomentumTermSpread_60_5,0.0012995447171585406,0.000259286350025468
MomentumTermSpread_120_60,0.0012525302944205914,0.0001696393691047566
SencondMomentum_5_10_20,0.0012368871313132024,4.645857492827078e-05
MomentumTermSpread_120_10,0.0011632427487766606,8.139371818032105e-05
PositionChange_20_5,0.0011019964740334915,0.00010678849214632716
MomentumTermSpread_60_20,0.001063630436607362,0.0002500517043663838
SencondMomentum_20_10_180,0.0010510657763699305,6.062104923907849e-05
SencondMomentum_180_10_60,0.0010336275846011638,0.0003615120212656409
SencondMomentum_20_60_5,0.001014188336512382,0.00017796305115217888
MomentumTermSpread_120_5,0.0009675383356865241,0.00012954448812424485
